db16_matp,as_id,db16,as
189,30,Tỉnh An Giang,An Giang
177,10,Tỉnh Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu
124,28,Tỉnh Bắc Giang,Bắc Giang
106,62,Tỉnh Bắc Kạn,Bắc Kạn
195,55,Tỉnh Bạc Liêu,Bạc Liêu
127,17,Tỉnh Bắc Ninh,Bắc Ninh
183,37,Tỉnh Bến Tre,Bến Tre
152,25,Tỉnh Bình Định,Bình Định
174,4,Tỉnh Bình Dương,Bình Dương
170,23,Tỉnh Bình Phước,Bình Phước
160,13,Tỉnh Bình Thuận,Bình Thuận
196,39,Tỉnh Cà Mau,Cà Mau
192,12,Tỉnh Cần Thơ,Cần Thơ
104,63,Tỉnh Cao Bằng,Cao Bằng
148,3,Tỉnh Đà Nẵng,Đà Nẵng
166,11,Tỉnh Đắk Lắk,Đắk Lắk
167,38,Tỉnh Đắk Nông,Đắk Nông
111,58,Tỉnh Điện Biên,Điện Biên
175,5,Tỉnh Đồng Nai,Đồng Nai
187,47,Tỉnh Đồng Tháp,Đồng Tháp
164,22,Tỉnh Gia Lai,Gia Lai
102,61,Tỉnh Hà Giang,Hà Giang
135,45,Tỉnh Hà Nam,Hà Nam
101,2,Tỉnh Hà Nội,Hà Nội
142,46,Tỉnh Hà Tĩnh,Hà Tĩnh
130,21,Tỉnh Hải Dương,Hải Dương
131,7,Tỉnh Hải Phòng,Hải Phòng
193,53,Tỉnh Hậu Giang,Hậu Giang
179,1,Tỉnh Hồ Chí Minh,Hồ Chí Minh
117,29,Tỉnh Hoà Bình,Hòa Bình
133,24,Tỉnh Hưng Yên,Hưng Yên
156,6,Tỉnh Khánh Hòa,Khánh Hòa
191,16,Tỉnh Kiên Giang,Kiên Giang
162,49,Tỉnh Kon Tum,Kon Tum
112,59,Tỉnh Lai Châu,Lai Châu
168,14,Tỉnh Lâm Đồng,Lâm Đồng
120,60,Tỉnh Lạng Sơn,Lạng Sơn
110,34,Tỉnh Lào Cai,Lào Cai
180,8,Tỉnh Long An,Long An
136,35,Tỉnh Nam Định,Nam Định
140,20,Tỉnh Nghệ An,Nghệ An
137,41,Tỉnh Ninh Bình,Ninh Bình
158,43,Tỉnh Ninh Thuận,Ninh Thuận
125,42,Tỉnh Phú Thọ,Phú Thọ
154,44,Tỉnh Phú Yên,Phú Yên
144,50,Tỉnh Quảng Bình,Quảng Bình
149,9,Tỉnh Quảng Nam,Quảng Nam
151,36,Tỉnh Quảng Ngãi,Quảng Ngãi
122,18,Tỉnh Quảng Ninh,Quảng Ninh
145,51,Tỉnh Quảng Trị,Quảng Trị
194,48,Tỉnh Sóc Trăng,Sóc Trăng
114,54,Tỉnh Sơn La,Sơn La
172,32,Tỉnh Tây Ninh,Tây Ninh
134,27,Tỉnh Thái Bình,Thái Bình
119,33,Tỉnh Thái Nguyên,Thái Nguyên
138,19,Tỉnh Thanh Hóa,Thanh Hóa
146,15,Tỉnh Thừa Thiên Huế,Thừa Thiên Huế
182,26,Tỉnh Tiền Giang,Tiền Giang
184,52,Tỉnh Trà Vinh,Trà Vinh
108,57,Tỉnh Tuyên Quang,Tuyên Quang
186,40,Tỉnh Vĩnh Long,Vĩnh Long
126,31,Tỉnh Vĩnh Phúc,Vĩnh Phúc
115,56,Tỉnh Yên Bái,Yên Bái
