matp,name,type,parent_id
189,Tỉnh An Giang,Tỉnh,NULL
177,Tỉnh Bà Rịa - Vũng Tàu,Tỉnh,NULL
124,Tỉnh Bắc Giang,Tỉnh,NULL
106,Tỉnh Bắc Kạn,Tỉnh,NULL
195,Tỉnh Bạc Liêu,Tỉnh,NULL
127,Tỉnh Bắc Ninh,Tỉnh,NULL
183,Tỉnh Bến Tre,Tỉnh,NULL
152,Tỉnh Bình Định,Tỉnh,NULL
174,Tỉnh Bình Dương,Tỉnh,NULL
170,Tỉnh Bình Phước,Tỉnh,NULL
160,Tỉnh Bình Thuận,Tỉnh,NULL
196,Tỉnh Cà Mau,Tỉnh,NULL
192,Tỉnh Cần Thơ,Tỉnh Trung ương,NULL
104,Tỉnh Cao Bằng,Tỉnh,NULL
148,Tỉnh Đà Nẵng,Tỉnh Trung ương,NULL
166,Tỉnh Đắk Lắk,Tỉnh,NULL
167,Tỉnh Đắk Nông,Tỉnh,NULL
111,Tỉnh Điện Biên,Tỉnh,NULL
175,Tỉnh Đồng Nai,Tỉnh,NULL
187,Tỉnh Đồng Tháp,Tỉnh,NULL
164,Tỉnh Gia Lai,Tỉnh,NULL
102,Tỉnh Hà Giang,Tỉnh,NULL
135,Tỉnh Hà Nam,Tỉnh,NULL
101,Tỉnh Hà Nội,Tỉnh Trung ương,NULL
142,Tỉnh Hà Tĩnh,Tỉnh,NULL
130,Tỉnh Hải Dương,Tỉnh,NULL
131,Tỉnh Hải Phòng,Tỉnh Trung ương,NULL
193,Tỉnh Hậu Giang,Tỉnh,NULL
179,Tỉnh Hồ Chí Minh,Tỉnh Trung ương,NULL
117,Tỉnh Hoà Bình,Tỉnh,NULL
133,Tỉnh Hưng Yên,Tỉnh,NULL
156,Tỉnh Khánh Hòa,Tỉnh,NULL
191,Tỉnh Kiên Giang,Tỉnh,NULL
162,Tỉnh Kon Tum,Tỉnh,NULL
112,Tỉnh Lai Châu,Tỉnh,NULL
168,Tỉnh Lâm Đồng,Tỉnh,NULL
120,Tỉnh Lạng Sơn,Tỉnh,NULL
110,Tỉnh Lào Cai,Tỉnh,NULL
180,Tỉnh Long An,Tỉnh,NULL
136,Tỉnh Nam Định,Tỉnh,NULL
140,Tỉnh Nghệ An,Tỉnh,NULL
137,Tỉnh Ninh Bình,Tỉnh,NULL
158,Tỉnh Ninh Thuận,Tỉnh,NULL
125,Tỉnh Phú Thọ,Tỉnh,NULL
154,Tỉnh Phú Yên,Tỉnh,NULL
144,Tỉnh Quảng Bình,Tỉnh,NULL
149,Tỉnh Quảng Nam,Tỉnh,NULL
151,Tỉnh Quảng Ngãi,Tỉnh,NULL
122,Tỉnh Quảng Ninh,Tỉnh,NULL
145,Tỉnh Quảng Trị,Tỉnh,NULL
194,Tỉnh Sóc Trăng,Tỉnh,NULL
114,Tỉnh Sơn La,Tỉnh,NULL
172,Tỉnh Tây Ninh,Tỉnh,NULL
134,Tỉnh Thái Bình,Tỉnh,NULL
119,Tỉnh Thái Nguyên,Tỉnh,NULL
138,Tỉnh Thanh Hóa,Tỉnh,NULL
146,Tỉnh Thừa Thiên Huế,Tỉnh,NULL
182,Tỉnh Tiền Giang,Tỉnh,NULL
184,Tỉnh Trà Vinh,Tỉnh,NULL
108,Tỉnh Tuyên Quang,Tỉnh,NULL
186,Tỉnh Vĩnh Long,Tỉnh,NULL
126,Tỉnh Vĩnh Phúc,Tỉnh,NULL
115,Tỉnh Yên Bái,Tỉnh,NULL
