ID_2016,ID_ADS,NOTE,DB_2016,ADD-SERVICE,ADS_PREFIX,PARENT_ID,PARENT,TYPE,,
127127,964,x,Ph??ng 14,1,Ph??ng,78,3,1,,
127130,964,x,Ph??ng 12,1,Ph??ng,78,3,1,,
127133,964,x,Ph??ng 11,1,Ph??ng,78,3,1,,
127136,964,x,Ph??ng 13,1,Ph??ng,78,3,1,,
127145,964,x,Ph??ng 10,1,Ph??ng,78,3,1,,
127160,964,x,Ph??ng 01,1,Ph??ng,78,3,1,,
127130,970,x,Ph??ng 12,2,Ph??ng,78,3,1,,
127157,970,x,Ph??ng 02,2,Ph??ng,78,3,1,,
127136,971,x,Ph??ng 13,3,Ph??ng,78,3,1,,
127154,971,x,Ph??ng 03,3,Ph??ng,78,3,1,,
127127,972,x,Ph??ng 14,4,Ph??ng,78,3,1,,
127256,978,x,Ph??ng 12,1,Ph??ng,79,4,1,,
127259,978,x,Ph??ng 13,1,Ph??ng,79,4,1,,
127271,978,x,Ph??ng 10,1,Ph??ng,79,4,1,,
127277,978,x,Ph??ng 18,1,Ph??ng,79,4,1,,
127280,978,x,Ph??ng 14,1,Ph??ng,79,4,1,,
127289,978,x,Ph??ng 16,1,Ph??ng,79,4,1,,
127295,978,x,Ph??ng 15,1,Ph??ng,79,4,1,,
127298,978,x,Ph??ng 01,1,Ph??ng,79,4,1,,
127256,986,x,Ph??ng 12,2,Ph??ng,79,4,1,,
127259,987,x,Ph??ng 13,3,Ph??ng,79,4,1,,
127280,988,x,Ph??ng 14,4,Ph??ng,79,4,1,,
127295,989,x,Ph??ng 15,5,Ph??ng,79,4,1,,
127289,990,x,Ph??ng 16,6,Ph??ng,79,4,1,,
127277,991,x,Ph??ng 18,8,Ph??ng,79,4,1,,
127310,993,x,Ph??ng 12,1,Ph??ng,80,5,1,,
127319,993,x,Ph??ng 15,1,Ph??ng,80,5,1,,
127328,993,x,Ph??ng 11,1,Ph??ng,80,5,1,,
127331,993,x,Ph??ng 14,1,Ph??ng,80,5,1,,
127340,993,x,Ph??ng 10,1,Ph??ng,80,5,1,,
127343,993,x,Ph??ng 13,1,Ph??ng,80,5,1,,
