ID_2016,ID_ADS,DB_2016,ADD-SERVICE,ADS_PREFIX,PARENT_ID,PARENT,TYPE,NOTE
189,30,Tỉnh An Giang,An Giang,Tỉnh,NULL,NULL,0,1
177,10,Tỉnh Bà Rịa - Vũng Tàu,Bà Rịa Vũng Tàu,Tỉnh,NULL,NULL,0,1
124,28,Tỉnh Bắc Giang,Bắc Giang,Tỉnh,NULL,NULL,0,1
106,62,Tỉnh Bắc Kạn,Bắc Kạn,Tỉnh,NULL,NULL,0,1
195,55,Tỉnh Bạc Liêu,Bạc Liêu,Tỉnh,NULL,NULL,0,1
127,17,Tỉnh Bắc Ninh,Bắc Ninh,Tỉnh,NULL,NULL,0,1
183,37,Tỉnh Bến Tre,Bến Tre,Tỉnh,NULL,NULL,0,1
152,25,Tỉnh Bình Định,Bình Định,Tỉnh,NULL,NULL,0,1
174,4,Tỉnh Bình Dương,Bình Dương,Tỉnh,NULL,NULL,0,1
170,23,Tỉnh Bình Phước,Bình Phước,Tỉnh,NULL,NULL,0,1
160,13,Tỉnh Bình Thuận,Bình Thuận,Tỉnh,NULL,NULL,0,1
196,39,Tỉnh Cà Mau,Cà Mau,Tỉnh,NULL,NULL,0,1
192,12,Tỉnh Cần Thơ,Cần Thơ,Tỉnh,NULL,NULL,0,1
104,63,Tỉnh Cao Bằng,Cao Bằng,Tỉnh,NULL,NULL,0,1
148,3,Tỉnh Đà Nẵng,Đà Nẵng,Tỉnh,NULL,NULL,0,1
166,11,Tỉnh Đắk Lắk,Đắk Lắk,Tỉnh,NULL,NULL,0,1
167,38,Tỉnh Đắk Nông,Đắk Nông,Tỉnh,NULL,NULL,0,1
111,58,Tỉnh Điện Biên,Điện Biên,Tỉnh,NULL,NULL,0,1
175,5,Tỉnh Đồng Nai,Đồng Nai,Tỉnh,NULL,NULL,0,1
187,47,Tỉnh Đồng Tháp,Đồng Tháp,Tỉnh,NULL,NULL,0,1
164,22,Tỉnh Gia Lai,Gia Lai,Tỉnh,NULL,NULL,0,1
102,61,Tỉnh Hà Giang,Hà Giang,Tỉnh,NULL,NULL,0,1
135,45,Tỉnh Hà Nam,Hà Nam,Tỉnh,NULL,NULL,0,1
101,2,Tỉnh Hà Nội,Hà Nội,Tỉnh,NULL,NULL,0,1
142,46,Tỉnh Hà Tĩnh,Hà Tĩnh,Tỉnh,NULL,NULL,0,1
130,21,Tỉnh Hải Dương,Hải Dương,Tỉnh,NULL,NULL,0,1
131,7,Tỉnh Hải Phòng,Hải Phòng,Tỉnh,NULL,NULL,0,1
193,53,Tỉnh Hậu Giang,Hậu Giang,Tỉnh,NULL,NULL,0,1
179,1,Tỉnh Hồ Chí Minh,Hồ Chí Minh,Tỉnh,NULL,NULL,0,1
117,29,Tỉnh Hoà Bình,Hòa Bình,Tỉnh,NULL,NULL,0,1
133,24,Tỉnh Hưng Yên,Hưng Yên,Tỉnh,NULL,NULL,0,1
156,6,Tỉnh Khánh Hòa,Khánh Hòa,Tỉnh,NULL,NULL,0,1
191,16,Tỉnh Kiên Giang,Kiên Giang,Tỉnh,NULL,NULL,0,1
162,49,Tỉnh Kon Tum,Kon Tum,Tỉnh,NULL,NULL,0,1
112,59,Tỉnh Lai Châu,Lai Châu,Tỉnh,NULL,NULL,0,1
168,14,Tỉnh Lâm Đồng,Lâm Đồng,Tỉnh,NULL,NULL,0,1
120,60,Tỉnh Lạng Sơn,Lạng Sơn,Tỉnh,NULL,NULL,0,1
110,34,Tỉnh Lào Cai,Lào Cai,Tỉnh,NULL,NULL,0,1
180,8,Tỉnh Long An,Long An,Tỉnh,NULL,NULL,0,1
136,35,Tỉnh Nam Định,Nam Định,Tỉnh,NULL,NULL,0,1
140,20,Tỉnh Nghệ An,Nghệ An,Tỉnh,NULL,NULL,0,1
137,41,Tỉnh Ninh Bình,Ninh Bình,Tỉnh,NULL,NULL,0,1
158,43,Tỉnh Ninh Thuận,Ninh Thuận,Tỉnh,NULL,NULL,0,1
125,42,Tỉnh Phú Thọ,Phú Thọ,Tỉnh,NULL,NULL,0,1
154,44,Tỉnh Phú Yên,Phú Yên,Tỉnh,NULL,NULL,0,1
144,50,Tỉnh Quảng Bình,Quảng Bình,Tỉnh,NULL,NULL,0,1
149,9,Tỉnh Quảng Nam,Quảng Nam,Tỉnh,NULL,NULL,0,1
151,36,Tỉnh Quảng Ngãi,Quảng Ngãi,Tỉnh,NULL,NULL,0,1
122,18,Tỉnh Quảng Ninh,Quảng Ninh,Tỉnh,NULL,NULL,0,1
145,51,Tỉnh Quảng Trị,Quảng Trị,Tỉnh,NULL,NULL,0,1
194,48,Tỉnh Sóc Trăng,Sóc Trăng,Tỉnh,NULL,NULL,0,1
114,54,Tỉnh Sơn La,Sơn La,Tỉnh,NULL,NULL,0,1
172,32,Tỉnh Tây Ninh,Tây Ninh,Tỉnh,NULL,NULL,0,1
134,27,Tỉnh Thái Bình,Thái Bình,Tỉnh,NULL,NULL,0,1
119,33,Tỉnh Thái Nguyên,Thái Nguyên,Tỉnh,NULL,NULL,0,1
138,19,Tỉnh Thanh Hóa,Thanh Hóa,Tỉnh,NULL,NULL,0,1
146,15,Tỉnh Thừa Thiên Huế,Thừa Thiên Huế,Tỉnh,NULL,NULL,0,1
182,26,Tỉnh Tiền Giang,Tiền Giang,Tỉnh,NULL,NULL,0,1
