DB16_ID,AS_ID,DB16_NAME,DB16_PREFIX,AS_NAME,AS_PREFIX,P_ID,PROVINCE_ID,P_NAME,NOTE
130337,6268,An Phú,Thị trấn,An Phú,Thị trấn,388,30,An Phú,1
130340,6270,Khánh An,Xã,Khánh An,Xã,388,30,An Phú,1
130341,6272,Thị Trấn Long Bình,Thị trấn,Long Bình,Thị trấn,388,30,An Phú,1.0
130343,6271,Khánh Bình,Xã,Khánh Bình,Xã,388,30,An Phú,1
130346,6277,Quốc Thái,Xã,Quốc Thái,Xã,388,30,An Phú,1
130349,6273,Nhơn Hội,Xã,Nhơn Hội,Xã,388,30,An Phú,1
130352,6275,Phú Hữu,Xã,Phú Hữu,Xã,388,30,An Phú,1
130355,6274,Phú Hội,Xã,Phú Hội,Xã,388,30,An Phú,1
130358,6276,Phước Hưng,Xã,Phước Hưng,Xã,388,30,An Phú,1
130361,6280,Vĩnh Lộc,Xã,Vĩnh Lộc,Xã,388,30,An Phú,1
130364,6278,Vĩnh Hậu,Xã,Vĩnh Hậu,Xã,388,30,An Phú,1
130367,6281,Vĩnh Trường,Xã,Vĩnh Trường,Xã,388,30,An Phú,1
130370,6279,Vĩnh Hội Đông,Xã,Vĩnh Hội Đông,Xã,388,30,An Phú,1
130373,6269,Đa Phước,Xã,Đa Phước,Xã,388,30,An Phú,1
130316,6283,Châu Phú B,Phường,Châu Phú B,Phường,389,30,Châu Đốc,1
130319,6282,Châu Phú A,Phường,Châu Phú A,Phường,389,30,Châu Đốc,1
130322,6286,Vĩnh Mỹ,Phường,Vĩnh Mỹ,Phường,389,30,Châu Đốc,1
130325,6284,Núi Sam,Phường,Núi Sam,Phường,389,30,Châu Đốc,1
130328,6287,Vĩnh Ngươn,Phường,Vĩnh Ngươn,Xã,389,30,Châu Đốc,Sai prefix
130331,6288,Vĩnh Tế,Xã,Vĩnh Tế,Xã,389,30,Châu Đốc,1
130334,6285,Vĩnh Châu,Xã,Vĩnh Châu,Xã,389,30,Châu Đốc,1
130463,6294,Cái Dầu,Thị trấn,Cái Dầu,Thị trấn,390,30,Châu Phú,1
130466,6296,Khánh Hòa,Xã,Khánh Hòa,Xã,390,30,Châu Phú,1
130469,6297,Mỹ Đức,Xã,Mỹ Đức,Xã,390,30,Châu Phú,1
130472,6298,Mỹ Phú,Xã,Mỹ Phú,Xã,390,30,Châu Phú,1
130475,6299,Ô Long Vỹ,Xã,Ô Long Vĩ,Xã,390,30,Châu Phú,0.917
130478,6301,Vĩnh Thạnh Trung,Xã,Vĩnh Thạnh Trung,Xã,390,30,Châu Phú,1
