address_id,address_service_id,NOTE,Fillter,address_name,address_service_name,address_parent,address_type,address_service_prefix,address-service_parent, Simillar
25929,28962,,x,An Trì 3,An Trì,Qu?n H?ng Bàng,2,???ng,H?ng Bàng,0.8
13337,28968,,x,Cam L? 1,Cam L?,Qu?n H?ng Bàng,2,???ng,H?ng Bàng,0.8
30686,22053,Chir có ph??c hòa 5,x,Ph??c Hoà 5,Ph??c Hòa,Qu?n C?m L?,2,???ng,C?m L?,0.857
34510,22131,chir có trung l??ng 3,x,trung l??ng 3,Trung L??ng,Qu?n C?m L?,2,???ng,C?m L?,0.88
13175,28777,ch? có c?u rào 2,x,C?u Rào 2,C?u Rào,Qu?n D??ng Kinh,2,???ng,D??ng Kinh,0.824
221,19340,,x,Nguyên H?ng,Nguy?n Huy Thông,Ba ?ình,2,???ng,Ba ?ình,0.786
1049,19338,,x,Nguy?n Trung Tr?c,Nguy?n Công Tr?,Ba ?ình,2,???ng,Ba ?ình,0.788
205,19368,?ã map r?i,x,Thành Công,Thành Công B?c,Ba ?ình,2,Ph?,Ba ?ình,0.769
210,19379,,x,Trúc B?ch,Trúc L?c,Ba ?ình,2,???ng,Ba ?ình,0.778
992,45052,,x,AC Building,Zodiac Building,C?u Gi?y,4,,C?u Gi?y,0.71
609,19547,,x,Ngh?a Tân,Nh?t Tân,C?u Gi?y,2,Ph?,C?u Gi?y,0.737
604,19534,,x,Nguy?n Chánh,Nguy?n C? Th?ch,C?u Gi?y,2,???ng,C?u Gi?y,0.786
577,19536,,x,Nguy?n Phong S?c,Nguy?n ??ng Chi,C?u Gi?y,2,Ph?,C?u Gi?y,0.727
607,19545,,x,Nguy?n Th? ??nh,Nguy?n Tri?n,C?u Gi?y,2,???ng,C?u Gi?y,0.714
617,19549,,x,Ph?m Th?n Du?t,Ph?m Nh?t Du?t,C?u Gi?y,2,???ng,C?u Gi?y,0.828
5284,19486,,x,Th? Tháp,B?o Tháp,C?u Gi?y,2,???ng,C?u Gi?y,0.706
2139,19574,,x,Trung Hòa,Tràng Hào,C?u Gi?y,2,???ng,C?u Gi?y,0.737
2139,19575,,x,Trung Hòa,Tràng Hòa,C?u Gi?y,2,???ng,C?u Gi?y,0.842
4115,19627,,x,Xã Hòa Chính,H? Chí Minh,Ch??ng M?,2,???ng,Ch??ng M?,0.727
4134,19633,,x,Xã Tiên Ph??ng,Tiên Tr??ng,Ch??ng M?,2,???ng,Ch??ng M?,0.75
4016,19667,,x,??i M?ch,Bãi Ch?o,?ông Anh,2,???ng,?ông Anh,0.706
4016,19710,,x,??i M?ch,Mai Châu,?ông Anh,2,???ng,?ông Anh,0.706
3972,19672,,x,???ng B?c Th?ng Long-H?i B?i,Cao t?c Th?ng Long N?i Bài,?ông Anh,2,???ng,?ông Anh,0.72
3959,19673,,x,???ng Cao L?,C?u L?n,?ông Anh,2,???ng,?ông Anh,0.8
3959,19679,,x,???ng Cao L?,?a L?c,?ông Anh,2,???ng,?ông Anh,0.714
3973,19680,,x,???ng H?i B?i,?ài Bi,?ông Anh,2,???ng,?ông Anh,0.8
3973,19728,,x,???ng H?i B?i,Thái Bình,?ông Anh,2,???ng,?ông Anh,0.778
3941,19703,,x,???ng Liên Hà,Lê Xá,?ông Anh,2,???ng,?ông Anh,0.714
3941,19735,,x,???ng Liên Hà,Tiên H?i,?ông Anh,2,???ng,?ông Anh,0.706
3941,19736,,x,???ng Liên Hà,Tiên Kha,?ông Anh,2,???ng,?ông Anh,0.824
3941,19749,,x,???ng Liên Hà,Yên Hà,?ông Anh,2,???ng,?ông Anh,0.8
3955,19691,,x,???ng Uy N?,Du N?i,?ông Anh,2,???ng,?ông Anh,0.769
3955,19692,,x,???ng Uy N?,D?c N?i,?ông Anh,2,???ng,?ông Anh,0.714
4162,19693,,x,Th? tr?n ?ông Anh,Ga ?ông Anh,?ông Anh,2,???ng,?ông Anh,0.727
4046,19733,,x,Th?y Lâm,Th?y Hà,?ông Anh,2,???ng,?ông Anh,0.75
551,19786,,x,Hoàng C?u,Hoàng An,??ng ?a,2,???ng,??ng ?a,0.778
24052,19802,,x,Láng Trung,Láng Th??ng,??ng ?a,2,???ng,??ng ?a,0.818
949,19812,,x,Ngõ L??ng S? B,L??ng S? A,??ng ?a,2,???ng,??ng ?a,0.72
112,19821,,x,Nguy?n L??ng B?ng,Nguy?n Công Hoan,??ng ?a,2,???ng,??ng ?a,0.765
534,19831,,x,Phan Phù Tiên,Phan Huy Thông,??ng ?a,2,???ng,??ng ?a,0.714
539,19764,,x,Pháo ?ài Láng,??i La,??ng ?a,2,Ph?,??ng ?a,0.762
538,19788,,x,Ph??ng Mai,Hoàng Mai,??ng ?a,2,???ng,??ng ?a,0.8
35752,45071,,x,S? 1 Thái Hà,131 ph? Thái Hà,??ng ?a,4,,??ng ?a,0.733
535,19851,,x,Thái Hà,Th?nh Hào,??ng ?a,2,???ng,??ng ?a,0.706
485,19850,Sai tên thanh Mi?u,x,Thanh Mi?n,Thanh Mi?u,??ng ?a,2,???ng,??ng ?a,0.857
496,19808,,x,Th?nh Quang,Linh Quang,??ng ?a,2,???ng,??ng ?a,0.818
496,19809,,x,Th?nh Quang,Linh Quang A,??ng ?a,2,???ng,??ng ?a,0.75
496,19810,,x,Th?nh Quang,Linh Quang B,??ng ?a,2,???ng,??ng ?a,0.75
517,19870,,x,Trung Li?t,Trung Ti?n,??ng ?a,2,???ng,??ng ?a,0.762
