address_id,as_id,address_name,as_name,as_prefix,b_type,b_pid,a_pname,as_pname, Simillar
833,30,An Giang,An Giang,NULL,0,NULL,0,0,1
834,10,Bà Rịa - Vũng Tàu,Bà Rịa Vũng Tàu,NULL,0,NULL,0,0,1
144,28,Bắc Giang,Bắc Giang,NULL,0,NULL,0,0,1
835,62,Bắc Kạn,Bắc Kạn,NULL,0,NULL,0,0,1
836,55,Bạc Liêu,Bạc Liêu,NULL,0,NULL,0,0,1
837,17,Bắc Ninh,Bắc Ninh,NULL,0,NULL,0,0,1
838,37,Bến Tre,Bến Tre,NULL,0,NULL,0,0,1
826,25,Bình Định,Bình Định,NULL,0,NULL,0,0,1
839,4,Bình Dương,Bình Dương,NULL,0,NULL,0,0,1
840,23,Bình Phước,Bình Phước,NULL,0,NULL,0,0,1
812,13,Bình Thuận,Bình Thuận,NULL,0,NULL,0,0,1
841,39,Cà Mau,Cà Mau,NULL,0,NULL,0,0,1
806,12,Cần Thơ,Cần Thơ,NULL,0,NULL,0,0,1
842,63,Cao Bằng,Cao Bằng,NULL,0,NULL,0,0,1
129,3,Đà Nẵng,Đà Nẵng,NULL,0,NULL,0,0,1
843,11,Đắk Lắk,Đắk Lắk,NULL,0,NULL,0,0,1
844,38,Đắk Nông,Đắk Nông,NULL,0,NULL,0,0,1
845,58,Điện Biên,Điện Biên,NULL,0,NULL,0,0,1
823,5,Đồng Nai,Đồng Nai,NULL,0,NULL,0,0,1
846,47,Đồng Tháp,Đồng Tháp,NULL,0,NULL,0,0,1
847,22,Gia Lai,Gia Lai,NULL,0,NULL,0,0,1
830,61,Hà Giang,Hà Giang,NULL,0,NULL,0,0,1
807,45,Hà Nam,Hà Nam,NULL,0,NULL,0,0,1
1,2,Hà Nội,Hà Nội,NULL,0,NULL,0,0,1
848,46,Hà Tĩnh,Hà Tĩnh,NULL,0,NULL,0,0,1
805,21,Hải Dương,Hải Dương,NULL,0,NULL,0,0,1
135,7,Hải Phòng,Hải Phòng,NULL,0,NULL,0,0,1
849,53,Hậu Giang,Hậu Giang,NULL,0,NULL,0,0,1
850,29,Hòa Bình,Hòa Bình,NULL,0,NULL,0,0,1
816,24,Hưng Yên,Hưng Yên,NULL,0,NULL,0,0,1
831,6,Khánh Hòa,Khánh Hòa,NULL,0,NULL,0,0,1
851,16,Kiên Giang,Kiên Giang,NULL,0,NULL,0,0,1
852,49,Kon Tum,Kon Tum,NULL,0,NULL,0,0,1
853,59,Lai Châu,Lai Châu,NULL,0,NULL,0,0,1
854,14,Lâm Đồng,Lâm Đồng,NULL,0,NULL,0,0,1
134,60,Lạng Sơn,Lạng Sơn,NULL,0,NULL,0,0,1
808,34,Lào Cai,Lào Cai,NULL,0,NULL,0,0,1
855,8,Long An,Long An,NULL,0,NULL,0,0,1
811,35,Nam Định,Nam Định,NULL,0,NULL,0,0,1
821,20,Nghệ An,Nghệ An,NULL,0,NULL,0,0,1
856,41,Ninh Bình,Ninh Bình,NULL,0,NULL,0,0,1
857,43,Ninh Thuận,Ninh Thuận,NULL,0,NULL,0,0,1
858,42,Phú Thọ,Phú Thọ,NULL,0,NULL,0,0,1
869,44,Phú Yên,Phú Yên,NULL,0,NULL,0,0,1
818,50,Quảng Bình,Quảng Bình,NULL,0,NULL,0,0,1
859,9,Quảng Nam,Quảng Nam,NULL,0,NULL,0,0,1
860,36,Quảng Ngãi,Quảng Ngãi,NULL,0,NULL,0,0,1
819,18,Quảng Ninh,Quảng Ninh,NULL,0,NULL,0,0,1
143,51,Quảng Trị,Quảng Trị,NULL,0,NULL,0,0,1
861,48,Sóc Trăng,Sóc Trăng,NULL,0,NULL,0,0,1
130,54,Sơn La,Sơn La,NULL,0,NULL,0,0,1
862,32,Tây Ninh,Tây Ninh,NULL,0,NULL,0,0,1
863,27,Thái Bình,Thái Bình,NULL,0,NULL,0,0,1
864,33,Thái Nguyên,Thái Nguyên,NULL,0,NULL,0,0,1
865,19,Thanh Hóa,Thanh Hóa,NULL,0,NULL,0,0,1
866,15,Thừa Thiên Huế,Thừa Thiên Huế,NULL,0,NULL,0,0,1
824,26,Tiền Giang,Tiền Giang,NULL,0,NULL,0,0,1
126,1,TP Hồ Chí Minh,Hồ Chí Minh,NULL,0,NULL,0,0,1
867,52,Trà Vinh,Trà Vinh,NULL,0,NULL,0,0,1
137,57,Tuyên Quang,Tuyên Quang,NULL,0,NULL,0,0,1
868,40,Vĩnh Long,Vĩnh Long,NULL,0,NULL,0,0,1
827,31,Vĩnh Phúc,Vĩnh Phúc,NULL,0,NULL,0,0,1
132,56,Yên Bái,Yên Bái,NULL,0,NULL,0,0,1
1469,488,Huyện An Phú,An Phú,Huyện,7,833,An Giang,An Giang,1
1478,489,Thành Phố Châu Đốc,Châu Đốc,Thành phố,3,833,An Giang,An Giang,1
1470,490,Huyện Châu Phú,Châu Phú,Huyện,7,833,An Giang,An Giang,1
1471,491,Huyện Châu Thành,Châu Thành,Huyện,7,833,An Giang,An Giang,1
1472,492,Huyện Chợ Mới,Chợ Mới,Huyện,7,833,An Giang,An Giang,1
1477,493,Thành phố Long Xuyên,Long Xuyên,Thành phố,3,833,An Giang,An Giang,1
1473,494,Huyện Phú Tân,Phú Tân,Huyện,7,833,An Giang,An Giang,1
1479,495,Thị xã Tân Châu,Tân Châu,Thị xã,3,833,An Giang,An Giang,1
1474,496,Huyện Thoại Sơn,Thoại Sơn,Huyện,7,833,An Giang,An Giang,1
1475,497,Huyện Tịnh Biên,Tịnh Biên,Huyện,7,833,An Giang,An Giang,1
1476,498,Huyện Tri Tôn,Tri Tôn,Huyện,7,833,An Giang,An Giang,1
---,---,---,---,---,---,---,---,---,---
1487,239,Thành Phố Bà Rịa,Bà Rịa,Thành phố,3,834,Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,1
1480,240,Huyện Châu Đức,Châu Đức,Huyện,7,834,Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,1
1481,241,Huyện Côn Đảo,Côn Đảo,Huyện,7,834,Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,1
1482,242,Huyện Đất Đỏ,Đất Đỏ,Huyện,7,834,Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,1
1483,243,Huyện Long Điền,Long Điền,Huyện,7,834,Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,1
,244,,Phú Mỹ,Thị xã,3,,,Bà Rịa - Vũng Tàu,
1486,245,Thành phố Vũng Tàu,Vũng Tàu,Thành phố,3,834,Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,1
1485,246,Huyện Xuyên Mộc,Xuyên Mộc,Huyện,7,834,Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,1
1484,,Huyện Tân Thành,,,7,834,Bà Rịa - Vũng Tàu,,
---,---,---,---,---,---,---,---,---,---
1497,467,Thành phố Bắc Giang,Bắc Giang,Thành phố,3,144,Bắc Giang,Bắc Giang,1
1488,468,Huyện Hiệp Hòa,Hiệp Hòa,Huyện,7,144,Bắc Giang,Bắc Giang,1
1489,469,Huyện Lạng Giang,Lạng Giang,Huyện,7,144,Bắc Giang,Bắc Giang,1
1490,470,Huyện Lục Nam,Lục Nam,Huyện,7,144,Bắc Giang,Bắc Giang,1
1491,471,Huyện Lục Ngạn,Lục Ngạn,Huyện,7,144,Bắc Giang,Bắc Giang,1
1492,472,Huyện Sơn Động,Sơn Động,Huyện,7,144,Bắc Giang,Bắc Giang,1
1493,473,Huyện Tân Yên,Tân Yên,Huyện,7,144,Bắc Giang,Bắc Giang,1
1494,474,Huyện Việt Yên,Việt Yên,Huyện,7,144,Bắc Giang,Bắc Giang,1
1495,475,Huyện Yên Dũng,Yên Dũng,Huyện,7,144,Bắc Giang,Bắc Giang,1
1496,476,Huyện Yên Thế,Yên Thế,Huyện,7,144,Bắc Giang,Bắc Giang,1
---,---,---,---,---,---,---,---,---,---
1498,789,Huyện Ba Bể,Ba Bể,Huyện,7,835,Bắc Kạn,Bắc Kạn,1
1505,790,Thành phố Bắc Kạn,Bắc Kạn,Thành phố,3,835,Bắc Kạn,Bắc Kạn,1
1499,791,Huyện Bạch Thông,Bạch Thông,Huyện,7,835,Bắc Kạn,Bắc Kạn,1
1500,792,Huyện Chợ Đồn,Chợ Đồn,Huyện,7,835,Bắc Kạn,Bắc Kạn,1
1501,793,Huyện Chợ Mới,Chợ Mới,Huyện,7,835,Bắc Kạn,Bắc Kạn,1
1502,794,Huyện Na Rì,Na Rì,Huyện,7,835,Bắc Kạn,Bắc Kạn,1
1503,795,Huyện Ngân Sơn,Ngân Sơn,Huyện,7,835,Bắc Kạn,Bắc Kạn,1
1504,796,Huyện Pác Nặm,Pác Nặm,Huyện,7,835,Bắc Kạn,Bắc Kạn,1
---,---,---,---,---,---,---,---,---,---
1512,726,Thành Phố Bạc Liêu,Bạc Liêu,Thành phố,3,836,Bạc Liêu,Bạc Liêu,1
1506,727,Huyện Đông Hải,Đông Hải,Huyện,7,836,Bạc Liêu,Bạc Liêu,1
8033,728,Thị xã Giá Rai,Giá Rai,Thị xã,3,836,Bạc Liêu,Bạc Liêu,1
1508,729,Huyện Hòa Bình,Hòa Bình,Huyện,7,836,Bạc Liêu,Bạc Liêu,1
1509,730,Huyện Hồng Dân,Hồng Dân,Huyện,7,836,Bạc Liêu,Bạc Liêu,1
1510,731,Huyện Phước Long,Phước Long,Huyện,7,836,Bạc Liêu,Bạc Liêu,1
1511,732,Huyện Vĩnh Lợi,Vĩnh Lợi,Huyện,7,836,Bạc Liêu,Bạc Liêu,1
---,---,---,---,---,---,---,---,---,---
1519,317,Thành phố Bắc Ninh,Bắc Ninh,Thành phố,3,837,Bắc Ninh,Bắc Ninh,1
1513,318,Huyện Gia Bình,Gia Bình,Huyện,7,837,Bắc Ninh,Bắc Ninh,1
1514,319,Huyện Lương Tài,Lương Tài,Huyện,7,837,Bắc Ninh,Bắc Ninh,1
1515,320,Huyện Quế Võ,Quế Võ,Huyện,7,837,Bắc Ninh,Bắc Ninh,1
1516,321,Huyện Thuận Thành,Thuận Thành,Huyện,7,837,Bắc Ninh,Bắc Ninh,1
1517,322,Huyện Tiên Du,Tiên Du,Huyện,7,837,Bắc Ninh,Bắc Ninh,1
1520,323,Thị xã Từ Sơn,Từ Sơn,Thị xã,3,837,Bắc Ninh,Bắc Ninh,1
1518,324,Huyện Yên Phong,Yên Phong,Huyện,7,837,Bắc Ninh,Bắc Ninh,1
---,---,---,---,---,---,---,---,---,---
1521,559,Huyện Ba Tri,Ba Tri,Huyện,7,838,Bến Tre,Bến Tre,1
1529,560,Thành phố Bến Tre,Bến Tre,Thành phố,3,838,Bến Tre,Bến Tre,1
1522,561,Huyện Bình Đại,Bình Đại,Huyện,7,838,Bến Tre,Bến Tre,1
1523,562,Huyện Châu Thành,Châu Thành,Huyện,7,838,Bến Tre,Bến Tre,1
1524,563,Huyện Chợ Lách,Chợ Lách,Huyện,7,838,Bến Tre,Bến Tre,1
1525,564,Huyện Giồng Trôm,Giồng Trôm,Huyện,7,838,Bến Tre,Bến Tre,1
1526,565,Huyện Mỏ Cày Bắc,Mỏ Cày Bắc,Huyện,7,838,Bến Tre,Bến Tre,1
1527,566,Huyện Mỏ Cày Nam,Mỏ Cày Nam,Huyện,7,838,Bến Tre,Bến Tre,1
1528,567,Huyện Thạnh Phú,Thạnh Phú,Huyện,7,838,Bến Tre,Bến Tre,1
---,---,---,---,---,---,---,---,---,---
1532,437,Huyện An Lão,An Lão,Huyện,7,826,Bình Định,Bình Định,1
14988,438,Thị Xã An Nhơn,An Nhơn,Thị xã,3,826,Bình Định,Bình Định,1
1530,439,Huyện Hoài Ân,Hoài Ân,Huyện,7,826,Bình Định,Bình Định,1
1533,440,Huyện Hoài Nhơn,Hoài Nhơn,Huyện,7,826,Bình Định,Bình Định,1
1535,441,Huyện Phù Cát,Phù Cát,Huyện,7,826,Bình Định,Bình Định,1
1534,442,Huyện Phù Mỹ,Phù Mỹ,Huyện,7,826,Bình Định,Bình Định,1
1540,443,Thành phố Quy Nhơn,Qui Nhơn,Thành phố,3,826,Bình Định,Bình Định,0.909
1536,444,Huyện Tây Sơn,Tây Sơn,Huyện,7,826,Bình Định,Bình Định,1
1537,445,Huyện Tuy Phước,Tuy Phước,Huyện,7,826,Bình Định,Bình Định,1
1538,446,Huyện Vân Canh,Vân Canh,Huyện,7,826,Bình Định,Bình Định,1
1539,447,Huyện Vĩnh Thạnh,Vĩnh Thạnh,Huyện,7,826,Bình Định,Bình Định,1
---,---,---,---,---,---,---,---,---,---
1105,163,Huyện Bàu Bàng,Bàu Bàng,Huyện,7,839,Bình Dương,Bình Dương,1
1103,164,Thị Xã Bến Cát,Bến Cát,Thị xã,3,839,Bình Dương,Bình Dương,1
2086,165,Huyện Dầu Tiếng,Dầu Tiếng,Huyện,7,839,Bình Dương,Bình Dương,1
1102,166,Thị Xã Dĩ An,Dĩ An,Thị xã,7,839,Bình Dương,Bình Dương,1
2087,167,Huyện Phú Giáo,Phú Giáo,Huyện,7,839,Bình Dương,Bình Dương,1
1104,168,Thị Xã Tân Uyên,Tân Uyên,Thị xã,7,839,Bình Dương,Bình Dương,1
1100,169,Thủ Dầu Một,Thủ Dầu Một,Thành phố,3,839,Bình Dương,Bình Dương,Substring
1101,170,Thị Xã Thuận An,Thuận An,Thị xã,7,839,Bình Dương,Bình Dương,1
2107,810,Bắc Tân Uyên,Bắc Tân Uyên,Huyện,3,839,Bình Dương,Bình Dương,Substring
---,---,---,---,---,---,---,---,---,---
1548,416,Thị xã Bình Long,Bình Long,Thị xã,7,840,Bình Phước,Bình Phước,1
1541,417,Huyện Bù Đăng,Bù Đăng,Huyện,7,840,Bình Phước,Bình Phước,1
1542,418,Huyện Bù Đốp,Bù Đốp,Huyện,7,840,Bình Phước,Bình Phước,1
1543,419,Huyện Bù Gia Mập,Bù Gia Mập,Huyện,7,840,Bình Phước,Bình Phước,1
1544,420,Huyện Chơn Thành,Chơn Thành,Huyện,7,840,Bình Phước,Bình Phước,1
1545,421,Huyện Đồng Phú,Đồng Phú,Huyện,7,840,Bình Phước,Bình Phước,1
1549,422,Thị xã Đồng Xoài,Đồng Xoài,Thị xã,7,840,Bình Phước,Bình Phước,1
1546,423,Huyện Hớn Quản,Hớn Quản,Huyện,7,840,Bình Phước,Bình Phước,1
1547,424,Huyện Lộc Ninh,Lộc Ninh,Huyện,7,840,Bình Phước,Bình Phước,1
2106,425,Phú Riềng,Phú Riềng,Huyện,7,840,Bình Phước,Bình Phước,Substring
1550,426,Thị xã Phước Long,Phước Long,Thị xã,7,840,Bình Phước,Bình Phước,1
---,---,---,---,---,---,---,---,---,---
1552,271,Huyện Bắc Bình,Bắc Bình,Huyện,7,812,Bình Thuận,Bình Thuận,1
1556,272,Huyện Phú Quí,Phú Quí,Huyện,7,812,Bình Thuận,Bình Thuận,1
1551,273,Huyện Đức Linh,Đức Linh,Huyện,7,812,Bình Thuận,Bình Thuận,1
1553,274,Huyện Hàm Tân,Hàm Tân,Huyện,7,812,Bình Thuận,Bình Thuận,1
1554,275,Huyện Hàm Thuận Bắc,Hàm Thuận Bắc,Huyện,7,812,Bình Thuận,Bình Thuận,1
1555,276,Huyện Hàm Thuận Nam,Hàm Thuận Nam,Huyện,7,812,Bình Thuận,Bình Thuận,1
1560,277,Thị xã La Gi,La Gi,Thị xã,3,812,Bình Thuận,Bình Thuận,1
1559,278,Thành phố Phan Thiết,Phan Thiết,Thành phố,3,812,Bình Thuận,Bình Thuận,1
1557,279,Huyện Tánh Linh,Tánh Linh,Huyện,7,812,Bình Thuận,Bình Thuận,1
1558,280,Huyện Tuy Phong,Tuy Phong,Huyện,7,812,Bình Thuận,Bình Thuận,1
---,---,---,---,---,---,---,---,---,---
1569,576,Thành phố Cà Mau,Cà Mau,Thành phố,3,841,Cà Mau,Cà Mau,1
1561,577,Huyện Cái Nước,Cái Nước,Huyện,7,841,Cà Mau,Cà Mau,1
1562,578,Huyện Đầm Dơi,Đầm Dơi,Huyện,7,841,Cà Mau,Cà Mau,1
1563,579,Huyện Năm Căn,Năm Căn,Huyện,7,841,Cà Mau,Cà Mau,1
1564,580,Huyện Ngọc Hiển,Ngọc Hiển,Huyện,7,841,Cà Mau,Cà Mau,1
1565,581,Huyện Phú Tân,Phú Tân,Huyện,7,841,Cà Mau,Cà Mau,1
