Id1,Name GHTK, Id2, Name dev_Tuan, Parent_id 1, Simillar,
8029,Bình Đông,16167,Xã Bình Đông,,509,
8033,Bình Hòa,16170,Xã Bình Hòa,,509,
2272,Dư Hàng Kênh ,5850,Hàng Kênh,,164,
2102,Vĩnh Nguyên,15041,Phường Vĩnh Nguyên, ,150,
30,An Giang,833,An Giang,0,1,
10,Bà Rịa Vũng Tàu,834,Bà Rịa - Vũng Tàu,0,1,
28,Bắc Giang,144,Bắc Giang,0,1,
62,Bắc Kạn,835,Bắc Kạn,0,1,
55,Bạc Liêu,836,Bạc Liêu,0,1,
17,Bắc Ninh,837,Bắc Ninh,0,1,
37,Bến Tre,838,Bến Tre,0,1,
25,Bình Định,826,Bình Định,0,1,
4,Bình Dương,839,Bình Dương,0,1,
23,Bình Phước,840,Bình Phước,0,1,
13,Bình Thuận,812,Bình Thuận,0,1,
39,Cà Mau,841,Cà Mau,0,1,
12,Cần Thơ,806,Cần Thơ,0,1,
63,Cao Bằng,842,Cao Bằng,0,1,
3,Đà Nẵng,129,Đà Nẵng,0,1,
11,Đắk Lắk,843,Đắk Lắk,0,1,
38,Đắk Nông,844,Đắk Nông,0,1,
58,Điện Biên,845,Điện Biên,0,1,
5,Đồng Nai,823,Đồng Nai,0,1,
47,Đồng Tháp,846,Đồng Tháp,0,1,
22,Gia Lai,847,Gia Lai,0,1,
61,Hà Giang,830,Hà Giang,0,1,
45,Hà Nam,807,Hà Nam,0,1,
2,Hà Nội,1,Hà Nội,0,1,
46,Hà Tĩnh,848,Hà Tĩnh,0,1,
21,Hải Dương,805,Hải Dương,0,1,
7,Hải Phòng,135,Hải Phòng,0,1,
53,Hậu Giang,849,Hậu Giang,0,1,
29,Hòa Bình,850,Hòa Bình,0,1,
24,Hưng Yên,816,Hưng Yên,0,1,
6,Khánh Hòa,831,Khánh Hòa,0,1,
16,Kiên Giang,851,Kiên Giang,0,1,
49,Kon Tum,852,Kon Tum,0,1,
59,Lai Châu,853,Lai Châu,0,1,
14,Lâm Đồng,854,Lâm Đồng,0,1,
60,Lạng Sơn,134,Lạng Sơn,0,1,
34,Lào Cai,808,Lào Cai,0,1,
8,Long An,855,Long An,0,1,
35,Nam Định,811,Nam Định,0,1,
20,Nghệ An,821,Nghệ An,0,1,
41,Ninh Bình,856,Ninh Bình,0,1,
43,Ninh Thuận,857,Ninh Thuận,0,1,
42,Phú Thọ,858,Phú Thọ,0,1,
44,Phú Yên,869,Phú Yên,0,1,
50,Quảng Bình,818,Quảng Bình,0,1,
9,Quảng Nam,859,Quảng Nam,0,1,
36,Quảng Ngãi,860,Quảng Ngãi,0,1,
18,Quảng Ninh,819,Quảng Ninh,0,1,
51,Quảng Trị,143,Quảng Trị,0,1,
48,Sóc Trăng,861,Sóc Trăng,0,1,
54,Sơn La,130,Sơn La,0,1,
32,Tây Ninh,862,Tây Ninh,0,1,
27,Thái Bình,863,Thái Bình,0,1,
33,Thái Nguyên,864,Thái Nguyên,0,1,
19,Thanh Hóa,865,Thanh Hóa,0,1,
15,Thừa Thiên Huế,866,Thừa Thiên Huế,0,1,
26,Tiền Giang,824,Tiền Giang,0,1,
1,Hồ Chí Minh,126,TP Hồ Chí Minh,0,1,
52,Trà Vinh,867,Trà Vinh,0,1,
57,Tuyên Quang,137,Tuyên Quang,0,1,
40,Vĩnh Long,868,Vĩnh Long,0,1,
31,Vĩnh Phúc,827,Vĩnh Phúc,0,1,
56,Yên Bái,132,Yên Bái,0,1,
132,Thủ Dầu Một,1100,Thủ Dầu Một,4,1,
388,Phú Riềng,2106,Phú Riềng,23,1,
88,Ba Đình,2,Ba Đình,2,1,
89,Ba Vì,13,Ba Vì,2,1,
91,Cầu Giấy,6,Cầu Giấy,2,1,
92,Chương Mỹ,14,Chương Mỹ,2,1,
93,Đan Phượng,15,Đan Phượng,2,1,
94,Đông Anh,16,Đông Anh,2,1,
95,Đống Đa,7,Đống Đa,2,1,
96,Gia Lâm,17,Gia Lâm,2,1,
97,Hà Đông,11,Hà Đông,2,1,
98,Hai Bà Trưng,8,Hai Bà Trưng,2,1,
99,Hoài Đức,18,Hoài Đức,2,1,
100,Hoàn Kiếm,3,Hoàn Kiếm,2,1,
101,Hoàng Mai,9,Hoàng Mai,2,1,
102,Long Biên,5,Long Biên,2,1,
103,Mê Linh,19,Mê Linh,2,1,
104,Mỹ Đức,20,Mỹ Đức,2,1,
106,Phú Xuyên,21,Phú Xuyên,2,1,
107,Phúc Thọ,22,Phúc Thọ,2,1,
108,Quốc Oai,23,Quốc Oai,2,1,
109,Sóc Sơn,24,Sóc Sơn,2,1,
110,Sơn Tây,12,Sơn Tây,2,1,
111,Tây Hồ,4,Tây Hồ,2,1,
112,Thạch Thất,25,Thạch Thất,2,1,
113,Thanh Oai,26,Thanh Oai,2,1,
114,Thanh Trì,27,Thanh Trì,2,1,
115,Thanh Xuân,10,Thanh Xuân,2,1,
116,Thường Tín,28,Thường Tín,2,1,
117,Ứng Hòa,30,Ứng Hòa,2,1,
724,Nậm Nhùn,2104,Nậm Nhùn,59,1,
649,Quảng Ninh,1880,Quảng Ninh,50,1,
2873,Sông Xoài,19869,Sông Xoài,207,1,
6596,Đa Mai,5922,Đa Mai,430,1,
6597,Dĩnh Kế,5923,Dĩnh Kế,430,1,
6598,Dĩnh Trì,5933,Dĩnh Trì,430,1,
6599,Đồng Sơn,5934,Đồng Sơn,430,1,
6600,Hoàng Văn Thụ,5924,Hoàng Văn Thụ,430,1,
6601,Lê Lợi,5925,Lê Lợi,430,1,
6602,Mỹ Độ,5926,Mỹ Độ,430,1,
6603,Ngô Quyền,5927,Ngô Quyền,430,1,
6604,Song Khê,5935,Song Khê,430,1,
6605,Song Mai,5936,Song Mai,430,1,
6606,Tân Mỹ,5938,Tân Mỹ,430,1,
6607,Tân Tiến,5939,Tân Tiến,430,1,
6608,Thọ Xương,5928,Thọ Xương,430,1,
6609,Trần Nguyên Hãn,5929,Trần Nguyên Hãn,430,1,
6610,Trần Phú,5930,Trần Phú,430,1,
6611,Xương Giang,5932,Xương Giang,430,1,
38095,Hoàng Văn Thụ,5924,Hoàng Văn Thụ,430,1,
38101,Lê Lợi,5925,Lê Lợi,430,1,
38110,Mỹ Độ,5926,Mỹ Độ,430,1,
38125,Nguyễn Thị Lựu,10724,Nguyễn Thị Lưu,430,1,
38129,Nguyễn Văn Cừ,10782,Nguyễn Văn Cừ,430,1,
38136,Song Khê,5935,Song Khê,430,1,
38151,Trần Nguyên Hãn,5929,Trần Nguyên Hãn,430,1,
38157,Xương Giang,5932,Xương Giang,430,1,
3765,Hạp Lĩnh,5905,Hạp Lĩnh,280,1,
3766,Hòa Long,5906,Hòa Long,280,1,
3767,Khắc Niệm,5907,Khắc Niệm,280,1,
3770,Kinh Bắc,5910,Kinh Bắc,280,1,
3772,Ninh Xá,5912,Ninh Xá,280,1,
3773,Phong Khê,5913,Phong Khê,280,1,
3774,Suối Hoa,5914,Suối Hoa,280,1,
3775,Thị Cầu,5915,Thị Cầu,280,1,
3777,Vạn An,5917,Vạn An,280,1,
3778,Vân Dương,5918,Vân Dương,280,1,
3780,Võ Cường,5920,Võ Cường,280,1,
3781,Vũ Ninh,5921,Vũ Ninh,280,1,
34280,Bế Văn Đàn,10929,Bế Văn Đàn,280,1,
34298,D18,11644,đường 18,280,1,
34300,Đại Phúc 14,10872,Đại Phúc 14,280,1,
34324,Hòa Đình,11795,Hòa Đình,280,1,
34340,Kinh Bắc,5910,Kinh Bắc,280,1,
34427,Nguyễn Văn Siêu,10864,Nguyễn Văn Siêu,280,1,
34460,Tô Hiến Thành,10918,Tô Hiến Thành,280,1,
34477,Võ Cường,5920,Võ Cường,280,1,
1751,An Điền,6073,An Điền,127,1,
1752,An Tây,6074,An Tây,127,1,
1754,Chánh Phú Hòa,6068,Chánh Phú Hoà,127,1,
1755,Hòa Lợi,6069,Hòa Lợi,127,1,
1756,Mỹ Phước,6070,Mỹ Phước,127,1,
1757,Phú An,6075,Phú An,127,1,
1758,Tân Định,6071,Tân Định,127,1,
1759,Thới Hòa,6072,Thới Hòa,127,1,
