address_id,address_service_id, Simillar,address_name,address_service_name,address_type,address_service_prefix,address_parent,address-service_parent
10091,3621,x,Xã Nam Thái A,Nam Thái,1,Xã,Huyện An Biên,An Biên
15984,3624,x,Xã Tây Yên A,Tây Yên,1,Xã,Huyện An Biên,An Biên
24012,3628,x,Đông Hưng A,Đông Hưng,1,Xã,Huyện An Minh,An Minh
24015,3628,x,Đông Hưng B,Đông Hưng,1,Xã,Huyện An Minh,An Minh
24018,3635,x,Vân Khánh Đông,Vân Khánh,1,Xã,Huyện An Minh,An Minh
24021,3635,x,Vân Khánh Tây,Vân Khánh,1,Xã,Huyện An Minh,An Minh
168,19315,x,Kim Mã Thượng,Kim Mã,2,Phố,Ba Đình,Ba Đình
1048,19367,x,Bắc Thành Công,Thành Công,2,Đường,Ba Đình,Ba Đình
182,19367,x,Tập thể Thành Công,Thành Công,2,Đường,Ba Đình,Ba Đình
8031,10687,x,Xã Vĩnh Trạch Đông,Vĩnh Trạch,1,Xã,Thành Phố Bạc Liêu,Bạc Liêu
6936,1847,x,Long Bình Tân,Long Bình,1,Phường,Thành phố Biên Hòa,Biên Hòa
3399,12092,x,284 Cao Lỗ,284,2,Đường,Huyện Bình Chánh,Bình Chánh
2417,12151,x,Ấp 1A,Ấp 1,2,Đường,Huyện Bình Chánh,Bình Chánh
2418,12151,x,Ấp 1B,Ấp 1,2,Đường,Huyện Bình Chánh,Bình Chánh
2460,12151,x,Liên Ấp 1-2,Ấp 1,2,Đường,Huyện Bình Chánh,Bình Chánh
2461,12151,x,Liên Ấp 1-3,Ấp 1,2,Đường,Huyện Bình Chánh,Bình Chánh
2462,12154,x,Liên Ấp 2-3,Ấp 2,2,Đường,Huyện Bình Chánh,Bình Chánh
2463,12154,x,Liên Ấp 2-3-4,Ấp 2,2,Đường,Huyện Bình Chánh,Bình Chánh
2466,12155,x,Liên Ấp 4-5,Ấp 4,2,Đường,Huyện Bình Chánh,Bình Chánh
2468,12157,x,Liên Ấp 6-2,Ấp 6,2,Đường,Huyện Bình Chánh,Bình Chánh
2428,12191,x,Bờ Kinh T12,Bờ Kinh,2,Đường,Huyện Bình Chánh,Bình Chánh
2444,12298,x,Kênh 10,Kênh,2,Đường,Huyện Bình Chánh,Bình Chánh
2445,12298,x,Kênh 2,Kênh,2,Đường,Huyện Bình Chánh,Bình Chánh
2446,12298,x,Kênh 7,Kênh,2,Đường,Huyện Bình Chánh,Bình Chánh
2447,12298,x,Kênh B,Kênh,2,Đường,Huyện Bình Chánh,Bình Chánh
2448,12298,x,Kênh C6,Kênh,2,Đường,Huyện Bình Chánh,Bình Chánh
2449,12298,x,Kênh Liên Vùng,Kênh,2,Đường,Huyện Bình Chánh,Bình Chánh
2460,12339,x,Liên Ấp 1-2,Liên Ấp,2,Đường,Huyện Bình Chánh,Bình Chánh
2461,12339,x,Liên Ấp 1-3,Liên Ấp,2,Đường,Huyện Bình Chánh,Bình Chánh
2462,12339,x,Liên Ấp 2-3,Liên Ấp,2,Đường,Huyện Bình Chánh,Bình Chánh
2463,12339,x,Liên Ấp 2-3-4,Liên Ấp,2,Đường,Huyện Bình Chánh,Bình Chánh
2464,12339,x,Liên Ấp 3-4,Liên Ấp,2,Đường,Huyện Bình Chánh,Bình Chánh
2465,12339,x,Liên Ấp 3-4-5,Liên Ấp,2,Đường,Huyện Bình Chánh,Bình Chánh
2466,12339,x,Liên Ấp 4-5,Liên Ấp,2,Đường,Huyện Bình Chánh,Bình Chánh
2467,12339,x,Liên Ấp 5-6,Liên Ấp,2,Đường,Huyện Bình Chánh,Bình Chánh
2468,12339,x,Liên Ấp 6-2,Liên Ấp,2,Đường,Huyện Bình Chánh,Bình Chánh
2465,12353,x,Liên Ấp 3-4-5,Liên Ấp 3-4,2,Đường,Huyện Bình Chánh,Bình Chánh
2428,12506,x,Bờ Kinh T12,T12,2,Đường,Huyện Bình Chánh,Bình Chánh
2455,12507,x,Kinh T14,T14,2,Đường,Huyện Bình Chánh,Bình Chánh
2097,789,x,Phường An Lạc A,An Lạc,1,Phường,Quận Bình Tân,Bình Tân
2092,794,x,Phường Bình Trị Đông A,Bình Trị Đông,1,Phường,Quận Bình Tân,Bình Tân
2093,794,x,Phường Bình Trị Đông B,Bình Trị Đông,1,Phường,Quận Bình Tân,Bình Tân
2803,12813,x,Ấp Chiến Lược,Chiến Lược,2,Đường,Quận Bình Tân,Bình Tân
3514,12846,x,Miếu Gò Xoài,Gò Xoài,2,Đường,Quận Bình Tân,Bình Tân
2095,797,x,Phường Tân Tạo A,Tân Tạo,1,Phường,Quận Bình Tân,Bình Tân
2222,13262,x,Cư Xá Phan Đăng Lưu,Phan Đăng Lưu,2,Phố,Quận Bình Thạnh,Bình Thạnh
7699,8455,x,Xã Tân Hưng Đông,Tân Hưng,1,Xã,Huyện Cái Nước,Cái Nước
17664,2035,x,Phường Cam Phúc Bắc,Cam Phú,1,Phường,Thành phố Cam Ranh,Cam Ranh
17665,2035,x,Phường Cam Phúc Nam,Cam Phú,1,Phường,Thành phố Cam Ranh,Cam Ranh
2937,13324,x,Khu Dân Cư Ấp An Hòa,An Hòa,2,Đường,Huyện Cần Giờ,Cần Giờ
6129,10285,x,Xã An Trường A,An Trường,1,Xã,Huyện Càng Long,Càng Long
6138,10294,x,Xã Nhị Long Phú,Nhị Long,1,Xã,Huyện Càng Long,Càng Long
18924,3337,x,Xã Đồng Nai Thượng,Đồng Nai,1,Thị trấn,Huyện Cát Tiên,Cát Tiên
895,19498,x,Dịch Vọng Hậu,Dịch Vọng,2,Đường,Cầu Giấy,Cầu Giấy
46,1157,x,Dịch Vọng Hậu ,Dịch Vọng,1,Phường,Cầu Giấy,Cầu Giấy
1115,19578,x,Nam Trung Yên,Trung Yên,2,Đường,Cầu Giấy,Cầu Giấy
6179,10317,x,Xã Mỹ Long Bắc,Mỹ Long,1,Thị trấn,Huyện Cầu Ngang,Cầu Ngang
6180,10317,x,Xã Mỹ Long Nam,Mỹ Long,1,Thị trấn,Huyện Cầu Ngang,Cầu Ngang
15779,7077,x,Xã Hòa Bình Thạnh,Bình Thạnh,1,Xã,Huyện Châu Thành,Châu Thành
6250,10400,x,Xã Đông Phước A,Đông Phước,1,Xã,Huyện Châu Thành,Châu Thành
15990,3642,x,Xã Mong Thọ A,Mong Thọ,1,Xã,Huyện Châu Thành,Châu Thành
15991,3642,x,Xã Mong Thọ B,Mong Thọ,1,Xã,Huyện Châu Thành,Châu Thành
18432,9649,x,Xã Tân Phú Trung,Tân Phú,1,Xã,Huyện Châu Thành,Châu Thành
7718,8464,x,Xã Tạ An Khương Nam,Tạ An Khương,1,Xã,Huyện Đầm Dơi,Đầm Dơi
1607,712,x,Huyện Điện Biên Đông,Điện Biên,7,Huyện,Điện Biên,Điện Biên
20255,4783,x,Xã Diễn Phúc,Diễn Phú,1,Xã,Huyện Diễn Châu,Diễn Châu
18798,11403,x,thị trấn Nông Trường Thái Bình,Thái Bình,1,Xã,Huyện Đình Lập,Đình Lập
35796,19756,x,"21, 40 Cát Linh",Cát Linh,2,Đường,Đống Đa,Đống Đa
35768,19787,x,Ngõ 9 Hoàng Cầu,Hoàng Cầu,2,Phố,Đống Đa,Đống Đa
35724,19793,x,Mặt đường Khâm Thiên,Khâm Thiên,2,Phố,Đống Đa,Đống Đa
938,19793,x,Ngõ Chợ Khâm Thiên,Khâm Thiên,2,Phố,Đống Đa,Đống Đa
486,19798,x,La Thành nhỏ (Cạnh Xã Đàn),La Thành,2,Đường,Đống Đa,Đống Đa
527,19800,x,Chùa Láng,Láng,2,Đường,Đống Đa,Đống Đa
488,19800,x,Láng Hạ,Láng,2,Đường,Đống Đa,Đống Đa
24052,19800,x,Láng Trung,Láng,2,Đường,Đống Đa,Đống Đa
539,19800,x,Pháo Đài Láng,Láng,2,Đường,Đống Đa,Đống Đa
25389,19817,x,Khu tập thể Nam Đồng,Nam Đồng,2,Đường,Đống Đa,Đống Đa
35800,19824,x,"181, 183, 178, 86-88 Nguyễn Lương Bằng",Nguyễn Lương Bằng,2,Đường,Đống Đa,Đống Đa
35804,19830,x,Vincom số 2 Phạm Ngọc Thạch,Phạm Ngọc Thạch,2,Đường,Đống Đa,Đống Đa
35808,1249,x,"38, 75 Phương Mai",Phương Mai,1,Phường,Đống Đa,Đống Đa
35764,19842,x,292 Tây Sơn,Tây Sơn,2,Đường,Đống Đa,Đống Đa
35760,19845,x,102 Thái Thịnh,Thái Thịnh,2,Phố,Đống Đa,Đống Đa
493,19845,x,Thái Thịnh 1,Thái Thịnh,2,Phố,Đống Đa,Đống Đa
494,19845,x,Thái Thịnh 2,Thái Thịnh,2,Phố,Đống Đa,Đống Đa
35784,19856,x,"25, 59 ngõ Thông Phong",Thông Phong,2,Phố,Đống Đa,Đống Đa
35780,19859,x,mặt đường Tôn Đức Thắng,Tôn Đức Thắng,2,Phố,Đống Đa,Đống Đa
35792,19864,x,"mặt đường Ngô Sỹ Liên, Trần Quý Cáp",Trần Quý Cáp,2,Đường,Đống Đa,Đống Đa
1038,19872,x,Hồ Văn Chương,Văn Chương,2,Đường,Đống Đa,Đống Đa
486,19881,x,La Thành nhỏ (Cạnh Xã Đàn),Xã Đàn,2,Phố,Đống Đa,Đống Đa
35700,19881,x,Ngõ 360 Xã Đàn,Xã Đàn,2,Phố,Đống Đa,Đống Đa
501,19881,x,Xã Đàn 2,Xã Đàn,2,Phố,Đống Đa,Đống Đa
1055,19881,x,Xã Đàn 3,Xã Đàn,2,Phố,Đống Đa,Đống Đa
8055,10690,x,Xã An Trạch A,An Trạch,1,Xã,Huyện Đông Hải,Đông Hải
8062,10693,x,Xã Định Thành A,Định Thành,1,Xã,Huyện Đông Hải,Đông Hải
8058,10696,x,Xã Long Điền Đông,Long Điền,1,Xã,Huyện Đông Hải,Đông Hải
8059,10696,x,Xã Long Điền Đông A,Long Điền,1,Xã,Huyện Đông Hải,Đông Hải
8059,10697,x,Xã Long Điền Đông A,Long Điền Đông,1,Xã,Huyện Đông Hải,Đông Hải
15132,10022,x,Phường Đức Ninh Đông,Đức Ninh,1,Xã,Thành phố Đồng Hới,Đồng Hới
3538,13933,x,Nguyễn Duy Cung,Nguyễn Du,2,Đường,Quận Gò Vấp,Gò Vấp
3550,13942,x,Nhánh Nguyễn Oanh,Nguyễn Oanh,2,Đường,Quận Gò Vấp,Gò Vấp
35664,20181,x,CT6 Xa La,Xa La,2,Đường,Hà Đông,Hà Đông
35672,20181,x,Nam Xa La,Xa La,2,Đường,Hà Đông,Hà Đông
21298,606,x,Thị xã Kỳ Anh,Kỳ Anh,7,Huyện,Hà Tĩnh,Hà Tĩnh
5805,28847,x,Đông Hải 1,Đông Hải,2,Đường,Quận Hải An,Hải An
26621,28847,x,Đông Hải 2,Đông Hải,2,Đường,Quận Hải An,Hải An
13092,28853,x,Đồng Xá 1,Đồng Xá,2,Đường,Quận Hải An,Hải An
13102,28872,x,Lê Hồng Phong,Hồng Phong,2,Đường,Quận Hải An,Hải An
13100,28877,x,Bến Láng,Láng,2,Đường,Quận Hải An,Hải An
26197,28895,x,Khu 11 Nam Hải,Nam Hải,2,Đường,Quận Hải An,Hải An
26189,28895,x,Khu 2 Nam Hải,Nam Hải,2,Đường,Quận Hải An,Hải An
26193,28895,x,Khu 4 Nam Hải,Nam Hải,2,Đường,Quận Hải An,Hải An
10377,28917,x,Quanh Hồ Phương Lưu,Phương Lưu,2,Đường,Quận Hải An,Hải An
13150,28925,x,Cầu Tân Vũ,Tân Vũ,2,Đường,Quận Hải An,Hải An
25545,28933,x,Đường bao Trần Hưng Đạo,Trần Hưng Đạo,2,Đường,Quận Hải An,Hải An
26553,28935,x,Đường Đê Tràng Cát,Tràng Cát,2,Đường,Quận Hải An,Hải An
26417,28938,x,Bắc Trung Hành,Trung Hành,2,Đường,Quận Hải An,Hải An
13107,28938,x,Đông Trung Hành,Trung Hành,2,Đường,Quận Hải An,Hải An
26713,28938,x,Trung Hành 5,Trung Hành,2,Đường,Quận Hải An,Hải An
26373,20194,x,Vincom Bà Triệu,Bà Triệu,2,Phố,Hai Bà Trưng,Hai Bà Trưng
464,20225,x,"Ngô Quyền, Hàng Bài",Hàng Bài,2,Phố,Hai Bà Trưng,Hai Bà Trưng
959,20231,x,Ngõ Hòa Bình 1,Hòa Bình,2,Đường,Hai Bà Trưng,Hai Bà Trưng
960,20231,x,Ngõ Hòa Bình 2,Hòa Bình,2,Đường,Hai Bà Trưng,Hai Bà Trưng
951,20231,x,Ngõ Hòa Bình 3,Hòa Bình,2,Đường,Hai Bà Trưng,Hai Bà Trưng
961,20231,x,Ngõ Hòa Bình 4,Hòa Bình,2,Đường,Hai Bà Trưng,Hai Bà Trưng
962,20231,x,Ngõ Hòa Bình 5,Hòa Bình,2,Đường,Hai Bà Trưng,Hai Bà Trưng
940,20231,x,Ngõ Hòa Bình 7,Hòa Bình,2,Đường,Hai Bà Trưng,Hai Bà Trưng
18222,1314,x," Số 932 Đường Bạch Đằng, Phường Thanh Lương",Thanh Lương,1,Phường,Hai Bà Trưng,Hai Bà Trưng
16147,1314,x," Số 932 Đường Bạch Đằng, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội, (đường/phố) Thanh Lương, (phường) Thanh Lương, Hai Bà Trưng, Hà Nội",Thanh Lương,1,Phường,Hai Bà Trưng,Hai Bà Trưng
16157,1314,x,"932 Đường Bạch Đằng, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội",Thanh Lương,1,Phường,Hai Bà Trưng,Hai Bà Trưng
3927,20323,x,Vân Hồ 2,Vân Hồ,2,Đường,Hai Bà Trưng,Hai Bà Trưng
5120,20323,x,Vân Hồ 3,Vân Hồ,2,Đường,Hai Bà Trưng,Hai Bà Trưng
5316,1692,x,Phường Hải Châu II,Hải Châu I,1,Phường,Quận Hải Châu,Hải Châu
20209,7799,x,Xã Hải Anh,Hải An,1,Xã,Huyện Hải Hậu,Hải Hậu
20217,7818,x,Xã Hải Phúc,Hải Phú,1,Xã,Huyện Hải Hậu,Hải Hậu
1697,670,x,Huyện Châu Thành A,Châu Thành,7,Huyện,Hậu Giang,Hậu Giang
16828,6635,x,xã Danh Thắng,Thắng,1,Thị trấn,Huyện Hiệp Hòa,Hiệp Hòa
20725,6635,x,xã Đức Thắng,Thắng,1,Thị trấn,Huyện Hiệp Hòa,Hiệp Hòa
16833,6635,x,xã Thường Thắng,Thắng,1,Thị trấn,Huyện Hiệp Hòa,Hiệp Hòa
8078,10714,x,Xã Vĩnh Hậu A,Vĩnh Hậu,1,Xã,Huyện Hòa Bình,Hòa Bình
19673,6011,x,Xã Hoài Châu Bắc,Hoài Châu,1,Xã,Huyện Hoài Nhơn,Hoài Nhơn
19655,6021,x,Xã Hoài Thanh Tây,Hoài Thanh,1,Xã,Huyện Hoài Nhơn,Hoài Nhơn
19675,6024,x,Xã Tam Quan Bắc,Tam Quan,1,Thị trấn,Huyện Hoài Nhơn,Hoài Nhơn
19668,6024,x,Xã Tam Quan Nam,Tam Quan,1,Thị trấn,Huyện Hoài Nhơn,Hoài Nhơn
304,20572,x,Trần Bình Trọng,Trần Bình,2,Phố,Hoàn Kiếm,Hoàn Kiếm
296,20592,x,Vọng Đức,Vọng,2,Đường,Hoàn Kiếm,Hoàn Kiếm
286,20592,x,Vọng Hà,Vọng,2,Đường,Hoàn Kiếm,Hoàn Kiếm
18224,1357,x," Ngõ 99 ngách 110 hẻm 32 số nhà 15B Định Công Hạ, (đường/phố) Định Công Hạ, (phường) Định Công,",Định Công,1,Phường,Hoàng Mai,Hoàng Mai
674,20613,x,Định Công Hạ,Định Công,2,Đường,Hoàng Mai,Hoàng Mai
709,20613,x,Định Công Thượng,Định Công,2,Đường,Hoàng Mai,Hoàng Mai
18223,1357,x,"Số 73 Ngõ 99 ,Định Công Hạ,Hoàng Mai.Hà Nội, (đường/phố) Định Công Hạ, (phường) Định Công",Định Công,1,Phường,Hoàng Mai,Hoàng Mai
685,20638,x,Bắc Linh Đàm,Linh Đàm,2,Đường,Hoàng Mai,Hoàng Mai
3063,14124,x,Ấp Mới Mỹ Huề,Ấp Mới,2,Đường,Huyện Hóc Môn,Hóc Môn
3079,14321,x,Mỹ Huề 6,Mỹ Huề,2,Đường,Huyện Hóc Môn,Hóc Môn
3098,14488,x,Thới Tây Tân Hiệp,Tân Hiệp,2,Đường,Huyện Hóc Môn,Hóc Môn
3098,14599,x,Thới Tây Tân Hiệp,Tân Hiệp,2,Đường,Huyện Hóc Môn,Hóc Môn
3116,14601,x,Xuân Thới Sơn-Xuân Thới Đông,Thới Đông,2,Đường,Huyện Hóc Môn,Hóc Môn
3115,14603,x,Vườn Lan-Xuân Thới Sơn,Thới Sơn,2,Đường,Huyện Hóc Môn,Hóc Môn
3116,14603,x,Xuân Thới Sơn-Xuân Thới Đông,Thới Sơn,2,Đường,Huyện Hóc Môn,Hóc Môn
3115,14727,x,Vườn Lan-Xuân Thới Sơn,Vườn Lan,2,Đường,Huyện Hóc Môn,Hóc Môn
3115,14730,x,Vườn Lan-Xuân Thới Sơn,Xuân Thới,2,Đường,Huyện Hóc Môn,Hóc Môn
3116,14730,x,Xuân Thới Sơn-Xuân Thới Đông,Xuân Thới,2,Đường,Huyện Hóc Môn,Hóc Môn
13329,28962,x,An Trì 1,An Trì,2,Đường,Quận Hồng Bàng,Hồng Bàng
13328,28962,x,An Trì 2,An Trì,2,Đường,Quận Hồng Bàng,Hồng Bàng
13312,28965,x,ngõ 6A Bạch Đằng,Bạch Đằng,2,Đường,Quận Hồng Bàng,Hồng Bàng
13336,28968,x,Cam Lộ 2,Cam Lộ,2,Đường,Quận Hồng Bàng,Hồng Bàng
13335,28968,x,Cam Lộ 3,Cam Lộ,2,Đường,Quận Hồng Bàng,Hồng Bàng
13334,28968,x,Cam Lộ 4,Cam Lộ,2,Đường,Quận Hồng Bàng,Hồng Bàng
13333,28968,x,Cam Lộ 5,Cam Lộ,2,Đường,Quận Hồng Bàng,Hồng Bàng
13332,28968,x,Cam Lộ 6,Cam Lộ,2,Đường,Quận Hồng Bàng,Hồng Bàng
26365,29001,x,Hùng Vương Mới,Hùng Vương,2,Đường,Quận Hồng Bàng,Hồng Bàng
13281,29027,x,Quán Toan 1,Quán Toan,2,Đường,Quận Hồng Bàng,Hồng Bàng
25933,29027,x,Quán Toan 2,Quán Toan,2,Đường,Quận Hồng Bàng,Hồng Bàng
25741,29040,x,quanh hồ Tiên Dung,Tiên Dung,2,Phố,Quận Hồng Bàng,Hồng Bàng
8052,10722,x,Xã Ninh Quới A,Ninh Quới,1,Xã,Huyện Hồng Dân,Hồng Dân
8048,10724,x,Xã Ninh Thạnh Lợi A,Ninh Thạnh Lợi,1,Xã,Huyện Hồng Dân,Hồng Dân
8046,10726,x,Xã Vĩnh Lộc A,Vĩnh Lộc,1,Xã,Huyện Hồng Dân,Hồng Dân
15364,4851,x,xã Hưng Phúc,Hưng Phú,1,Xã,Huyện Hưng Nguyên,Hưng Nguyên
21274,9488,x,xã Sơn Hàm,Sơn Hà,1,Xã,Huyện Hương Sơn,Hương Sơn
21286,9501,x,xã Sơn Phúc,Sơn Phú,1,Xã,Huyện Hương Sơn,Hương Sơn
15918,5589,x,Xã Ia Khai,Ia Kha,1,Thị trấn,Huyện Ia Grai,Ia Grai
21529,9539,x,xã Kỳ Thượng,Kỳ Thư,1,Xã,Huyện Kỳ Anh,Kỳ Anh
13374,29178,x,ngõ 17 Chùa Hàng,Chùa Hàng,2,Đường,Quận Lê Chân,Lê Chân
10634,29214,x,292 Lạch Tray,Lạch Tray,2,Phố,Quận Lê Chân,Lê Chân
10628,29214,x,Ngõ 46 Lạch Tray,Lạch Tray,2,Phố,Quận Lê Chân,Lê Chân
5838,29214,x,Ngõ 72 Lạch Tray,Lạch Tray,2,Phố,Quận Lê Chân,Lê Chân
13353,29248,x,Lê Văn Thuyết,Thuyết,2,Đường,Quận Lê Chân,Lê Chân
259,20867,x,Long Biên 1,Long Biên,2,Đường,Long Biên,Long Biên
254,20867,x,Long Biên 2,Long Biên,2,Đường,Long Biên,Long Biên
6272,10430,x,Xã Vĩnh Viễn A,Vĩnh Viễn,1,Xã,Huyện Long Mỹ,Long Mỹ
7996,7109,x,Xã Mỹ Hòa Hưng,Mỹ Hòa,1,Phường,Thành phố Long Xuyên,Long Xuyên
8133,8577,x,Tân Long Hội,Tân Long,1,Xã,Huyện Mang Thít,Mang Thít
23114,11145,x,trung tâm Mường Nhé,Mường Nhé,1,Xã,Huyện Mường Nhé,Mường Nhé
7710,8481,x,Xã Tam Giang Đông,Tam Giang,1,Xã,Huyện Năm Căn,Năm Căn
12608,40054,x,đường Nguyễn Thiện Thuật,Nguyễn Thi,2,Đường,Thành phố Nam Định,Nam Định
19959,7903,x,Xã Nghĩa Phúc,Nghĩa Phú,1,Xã,Huyện Nghĩa Hưng,Nghĩa Hưng
13154,29268,x,An Đà Nội,An Đà,2,Đường,Quận Ngô Quyền,Ngô Quyền
5833,29302,x,Nam Pháp 1,Nam Pháp,2,Đường,Quận Ngô Quyền,Ngô Quyền
10467,29317,x,đường Quanh Hồ Phương Lưu,Phương Lưu,2,Đường,Quận Ngô Quyền,Ngô Quyền
7730,8486,x,Xã Tân Ân Tây,Tân Ân,1,Xã,Huyện Ngọc Hiển,Ngọc Hiển
7732,8488,x,Xã Viên An Đông,Viên An,1,Xã,Huyện Ngọc Hiển,Ngọc Hiển
3720,14901,x,Dọc Bờ Tây Kinh Cây Khô,Bờ Tây,2,Đường,Huyện Nhà Bè,Nhà Bè
3166,14930,x,Long Thới Nhơn Đức,Long Thới,2,Đường,Huyện Nhà Bè,Nhà Bè
3166,14948,x,Long Thới Nhơn Đức,Nhơn Đức,2,Đường,Huyện Nhà Bè,Nhà Bè
10068,3736,x,Vĩnh Thanh Vân,Vĩnh Thanh,1,Phường,Thành phố Rạch Giá,Rạch Giá
20402,6721,x,Thị trấn An Châu,An Châu,1,Xã,Huyện Sơn Động,Sơn Động
20431,6720,x,Xã An Châu,An Châu,1,Thị trấn,Huyện Sơn Động,Sơn Động
23791,8113,x,xã Sơn Bao,Sơn Ba,1,Xã,Huyện Sơn Hà,Sơn Hà
5272,18290,x, [Layhanghcm] 36 Bis Ba Vì Phường 4 - Q.Tân Bình,Ba Vì,2,Đường,Quận Tân Bình,Tân Bình
5271,18290,x,"36 Bis Ba Vì, Phường 4, Quận Tân Bình.",Ba Vì,2,Đường,Quận Tân Bình,Tân Bình
3567,18296,x,Bàu Cát 1,Bàu Cát,2,Đường,Quận Tân Bình,Tân Bình
3568,18296,x,Bàu Cát 2,Bàu Cát,2,Đường,Quận Tân Bình,Tân Bình
3569,18296,x,Bàu Cát 3,Bàu Cát,2,Đường,Quận Tân Bình,Tân Bình
3570,18296,x,Bàu Cát 4,Bàu Cát,2,Đường,Quận Tân Bình,Tân Bình
3571,18296,x,Bàu Cát 5,Bàu Cát,2,Đường,Quận Tân Bình,Tân Bình
