Id1,Name GHTK, Id2, Name dev_Tuan, Parent_id 1, Simillar
30,An Giang,833,An Giang,0,1
10,Bà Rịa Vũng Tàu,834,Bà Rịa - Vũng Tàu,0,1
28,Bắc Giang,144,Bắc Giang,0,1
62,Bắc Kạn,835,Bắc Kạn,0,1
55,Bạc Liêu,836,Bạc Liêu,0,1
17,Bắc Ninh,837,Bắc Ninh,0,1
37,Bến Tre,838,Bến Tre,0,1
25,Bình Định,826,Bình Định,0,1
4,Bình Dương,839,Bình Dương,0,1
23,Bình Phước,840,Bình Phước,0,1
13,Bình Thuận,812,Bình Thuận,0,1
39,Cà Mau,841,Cà Mau,0,1
12,Cần Thơ,806,Cần Thơ,0,1
63,Cao Bằng,842,Cao Bằng,0,1
3,Đà Nẵng,129,Đà Nẵng,0,1
11,Đắk Lắk,843,Đắk Lắk,0,1
38,Đắk Nông,844,Đắk Nông,0,1
58,Điện Biên,845,Điện Biên,0,1
5,Đồng Nai,823,Đồng Nai,0,1
47,Đồng Tháp,846,Đồng Tháp,0,1
22,Gia Lai,847,Gia Lai,0,1
61,Hà Giang,830,Hà Giang,0,1
45,Hà Nam,807,Hà Nam,0,1
2,Hà Nội,1,Hà Nội,0,1
46,Hà Tĩnh,848,Hà Tĩnh,0,1
21,Hải Dương,805,Hải Dương,0,1
7,Hải Phòng,135,Hải Phòng,0,1
53,Hậu Giang,849,Hậu Giang,0,1
29,Hòa Bình,850,Hòa Bình,0,1
24,Hưng Yên,816,Hưng Yên,0,1
6,Khánh Hòa,831,Khánh Hòa,0,1
16,Kiên Giang,851,Kiên Giang,0,1
49,Kon Tum,852,Kon Tum,0,1
59,Lai Châu,853,Lai Châu,0,1
14,Lâm Đồng,854,Lâm Đồng,0,1
60,Lạng Sơn,134,Lạng Sơn,0,1
34,Lào Cai,808,Lào Cai,0,1
8,Long An,855,Long An,0,1
35,Nam Định,811,Nam Định,0,1
20,Nghệ An,821,Nghệ An,0,1
41,Ninh Bình,856,Ninh Bình,0,1
43,Ninh Thuận,857,Ninh Thuận,0,1
42,Phú Thọ,858,Phú Thọ,0,1
44,Phú Yên,869,Phú Yên,0,1
50,Quảng Bình,818,Quảng Bình,0,1
9,Quảng Nam,859,Quảng Nam,0,1
36,Quảng Ngãi,860,Quảng Ngãi,0,1
18,Quảng Ninh,819,Quảng Ninh,0,1
51,Quảng Trị,143,Quảng Trị,0,1
48,Sóc Trăng,861,Sóc Trăng,0,1
54,Sơn La,130,Sơn La,0,1
32,Tây Ninh,862,Tây Ninh,0,1
27,Thái Bình,863,Thái Bình,0,1
33,Thái Nguyên,864,Thái Nguyên,0,1
19,Thanh Hóa,865,Thanh Hóa,0,1
15,Thừa Thiên Huế,866,Thừa Thiên Huế,0,1
26,Tiền Giang,824,Tiền Giang,0,1
1,Hồ Chí Minh,126,TP Hồ Chí Minh,0,1
52,Trà Vinh,867,Trà Vinh,0,1
57,Tuyên Quang,137,Tuyên Quang,0,1
40,Vĩnh Long,868,Vĩnh Long,0,1
31,Vĩnh Phúc,827,Vĩnh Phúc,0,1
56,Yên Bái,132,Yên Bái,0,1
