address_id,address_service_id,address_name,address_service_name,address_type,address_service_prefix,address_parent,address-service_parent, Simillar,,NOTE
13247,1850,Phước Tân,Phước Tân,1,Xã,Thành phố Biên Hòa,Biên Hòa,1,,
5738,7568,Đồng Bẩm,Đồng Bẩm,1,Xã,Thành phố Thái Nguyên,Thái Nguyên,1,,
7605,9815,Phú Mỹ,Phú Mỹ,1,Xã,Huyện Mỹ Tú,Mỹ Tú,1,,
7591,9819,Gia Hòa 2,Gia Hòa 2,1,Xã,Huyện Mỹ Xuyên,Mỹ Xuyên,1,,
6655,2155,An Đồng,An Đồng,1,Xã,Huyện An Dương,An Dương,1,,
6656,2158,An Hòa,An Hòa,1,Xã,Huyện An Dương,An Dương,1,,
6658,2160,An Hưng,An Hưng,1,Xã,Huyện An Dương,An Dương,1,,
6659,2161,Bắc Sơn,Bắc Sơn,1,Xã,Huyện An Dương,An Dương,1,,
6660,2162,Đại Bản,Đại Bản,1,Xã,Huyện An Dương,An Dương,1,,
6661,2163,Đặng Cương,Đặng Cương,1,Xã,Huyện An Dương,An Dương,1,,
6662,2164,Đồng Thái,Đồng Thái,1,Xã,Huyện An Dương,An Dương,1,,
6663,2165,Hồng Phong,Hồng phong,1,Xã,Huyện An Dương,An Dương,1,,
6664,2166,Hồng Thái,Hồng Thái,1,Xã,Huyện An Dương,An Dương,1,,
6665,2168,Lê Lợi,Lê Lợi,1,Xã,Huyện An Dương,An Dương,1,,
6666,2169,Lê Thiện,Lê Thiên,1,Xã,Huyện An Dương,An Dương,1,,
6667,2170,Nam Sơn,Nam Sơn,1,Xã,Huyện An Dương,An Dương,1,,
6668,2171,Quốc Tuấn,Quốc Tuấn,1,Xã,Huyện An Dương,An Dương,1,,
6669,2172,Tân Tiến,Tân Tiến,1,Xã,Huyện An Dương,An Dương,1,,
6757,2174,An Thái,An Thái,1,Xã,Huyện An Lão,An Lão,1,,
6672,2175,An Thắng,An Thắng,1,Xã,Huyện An Lão,An Lão,1,,
6673,2176,An Thọ,An Thọ,1,Xã,Huyện An Lão,An Lão,1,,
6674,2177,An Tiến,An Tiến,1,Xã,Huyện An Lão,An Lão,1,,
6675,2178,Bát Trang,Bát Trang,1,Xã,Huyện An Lão,An Lão,1,,
6676,2179,Chiến Thắng,Chiến Thắng,1,Xã,Huyện An Lão,An Lão,1,,
6677,2180,Mỹ Đức,Mỹ Đức,1,Xã,Huyện An Lão,An Lão,1,,
6678,2181,Quang Hưng,Quang Hưng,1,Xã,Huyện An Lão,An Lão,1,,
6679,2182,Quang Trung,Quang Trung,1,Xã,Huyện An Lão,An Lão,1,,
6680,2183,Quốc Tuấn,Quốc Tuấn,1,Xã,Huyện An Lão,An Lão,1,,
6681,2184,Tân Dân,Tân Dân,1,Xã,Huyện An Lão,An Lão,1,,
6682,2185,Tân Viên,Tân Viên,1,Xã,Huyện An Lão,An Lão,1,,
6683,2186,Thái Sơn,Thái Sơn,1,Xã,Huyện An Lão,An Lão,1,,
6671,2187,Trường Sơn,Trường Sơn,1,Xã,Huyện An Lão,An Lão,1,,
